"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Running","Run","","","","2025-07-12","","4085","","","","","0.42","2.70","","162","","158","176","","","0.78","28","2","14","7","3","0","0","0","","","","","","","","","","","","","","5","4"
"Cardio","Other","","","","2025-07-13","","0","","","","","0.79","0","","","","128","166","","","0.62","34","17","8","1","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-13","","0","","","","","0.07","0","","","","133","154","","","0.63","3","2","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-14","","0","","","","","0.57","0","","","","129","160","","","0.62","24","11","9","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-14","","4060","","","","","0.42","2.69","","161","","158","173","","","0.78","27","1","17","8","1","0","0","0","","","","","","","","","","","","","","6","4"
"Other","Other","","","","2025-07-14","","0","","","","","0.01","0","","18","","85","91","","","0.55","0","","","","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-14","","0","","","","","0.24","0","","","","95","128","","","0.58","9","","","","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-15","","0","","","","","0.38","0","","","","123","152","","","0.61","15","8","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-15","","0","","","","","0.14","0","","","","127","148","","","0.62","6","3","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-16","","0","","","","","1.86","0","","","","68","132","","","0.52","57","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-17","","0","","","","","0.57","0","","","","133","160","","","0.63","25","14","10","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-17","","0","","","","","4.73","0","","","","75","157","","","0.52","146","4","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-18","","0","","","","","0.50","0","","","","123","149","","","0.61","20","10","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-18","","3750","","","","","0.39","2.68","","163","","156","169","","","0.77","25","2","16","7","0","0","0","0","","","","","","","","","","","","","","5","3"
"Cardio","Other","","","","2025-07-18","","0","","","","","0.10","0","","","","108","126","","","0.61","4","","","","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-19","","0","","","","","1.56","0","","","","112","153","","","0.59","60","13","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-19","","0","","","","","0.24","0","","","","111","135","","","0.60","9","1","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-20","","0","","","","","0.50","0","","","","122","156","","","0.61","20","7","4","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-20","","4230","","","","","0.44","2.67","","147","","165","188","","","0.78","29","3","5","7","7","4","3","0","","","","","","","","","","","","","","6","4"
"Cardio","Other","","","","2025-07-20","","0","","","","","0.41","0","","","","97","128","","","0.56","14","","","","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-21","","0","","","","","0.32","0","","","","116","160","","","0.62","13","2","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-21","","0","","","","","0.81","0","","","","97","130","","","0.56","28","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-22","","3490","","","","","0.39","2.46","","149","","142","162","","","0.71","21","10","12","0","0","0","0","0","","","","","","","","","","","","","","4","3"
"Cardio","Other","","","","2025-07-22","","0","","","","","0.51","0","","","","124","150","","","0.60","20","11","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-22","","0","","","","","0.09","0","","","","113","133","","","0.61","4","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-23","","0","","","","","0.81","0","","","","121","154","","","0.60","32","10","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-23","","0","","","","","0.21","0","","","","92","139","","","0.55","7","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-24","","3515","","","","","0.39","2.53","","151","","140","165","","","0.72","22","12","8","1","0","0","0","0","","","","","","","","","","","","","","5","4"
"Cardio","Other","","","","2025-07-24","","0","","","","","0.56","0","","","","118","140","","","0.60","22","8","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-24","","0","","","","","0.23","0","","","","92","116","","","0.55","7","","","","","","","","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-25","","0","","","","","1.05","0","","","","125","162","","","0.61","44","17","8","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-25","","0","","","","","0.15","0","","","","92","108","","","0.56","5","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-26","","3475","","","","","0.39","2.48","","149","","140","165","","","0.73","22","12","6","2","0","0","0","0","","","","","","","","","","","","","","6","3"
"Cardio","Other","","","","2025-07-26","","0","","","","","0.60","0","","","","123","153","","","0.60","24","13","3","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-26","","0","","","","","0.21","0","","","","107","129","","","0.59","8","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-27","","0","","","","","1.07","0","","","","120","165","","","0.61","44","9","8","1","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-27","","0","","","","","0.16","0","","","","104","135","","","0.60","6","0","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-28","","4100","","","","","0.52","2.20","","133","","141","170","","","0.64","23","13","12","2","0","0","0","0","","","","","","","","","","","","","","4","3"
"Cardio","Other","","","","2025-07-28","","0","","","","","0.58","0","","","","135","162","","","0.62","25","21","7","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-28","","0","","","","","0.12","0","","","","119","146","","","0.61","5","2","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-29","","0","","","","","1.17","0","","","","118","153","","","0.60","47","15","2","0","0","0","0","0","","","","","","","","","","","","","","",""
"Cardio","Other","","","","2025-07-29","","0","","","","","0.33","0","","","","97","123","","","0.57","11","","","","","","","","","","","","","","","","","","","","","",""
"Running","Run","","","","2025-07-30","","5500","","","","","0.62",2.10,"",140,"",140,"170","","","0.64","23","13","12","2","0","0","0","0","","","","","","","","","","","","","","4","3"
"Running","Run","","","","2025-08-01","","8000","","","","","1.02",2.00,"",148,"","141",180,"","","0.64","23","13","12","2","0","0","0","0","","","","","","","","","","","","","","4","3"
